id,order_id,payment_date,method,amount,status
86,102,2025-01-01 18:15:55,research,54.51,skin
87,276,2024-11-06 02:52:32,I,35.55,mind
88,24,2024-07-18 14:56:22,interest,73.79,manage
89,139,2024-09-19 14:59:21,send,95.28,everybody
90,261,2024-10-04 10:32:24,serious,29.91,writer
91,23,2025-03-11 03:15:36,various,14.87,sit
92,88,2025-02-20 14:06:26,mind,19.38,but
93,42,2024-09-24 09:57:44,former,97.21,camera
94,102,2024-09-11 12:44:32,deep,85.89,design
95,200,2024-12-23 15:29:08,reveal,21.57,strong
96,31,2024-10-07 18:03:10,set,67.62,gas
97,76,2025-06-19 03:50:14,difference,12.87,crime
98,140,2025-05-30 17:27:26,he,31.41,message
99,36,2024-11-05 23:07:34,hard,68.25,difficult
100,190,2024-10-23 17:48:05,security,95.54,perhaps
101,259,2024-12-17 03:23:27,score,8.68,source
102,148,2025-05-29 02:31:50,along,29.62,least
103,261,2025-03-22 07:30:09,magazine,12.42,law
104,37,2024-11-24 14:59:55,he,74.4,like
105,169,2024-09-03 19:33:19,respond,46.74,popular
106,129,2025-05-03 14:52:25,hope,53.03,section
107,249,2024-12-04 14:29:56,writer,6.87,process
108,4,2025-06-21 17:48:12,subject,72.14,why
109,255,2025-05-06 16:33:30,decade,6.38,eye
110,88,2024-11-28 10:47:30,door,63.93,important
111,16,2024-12-15 09:23:08,home,75.7,together
112,37,2024-08-23 16:52:25,store,28.31,score
113,150,2024-11-04 12:39:39,above,99.51,federal
114,54,2024-10-25 00:32:25,offer,54.69,day
115,86,2025-02-09 17:55:24,fall,97.09,report
116,156,2025-01-29 17:29:10,yeah,88.61,explain
117,7,2025-04-08 12:21:55,official,69.65,customer
118,199,2024-10-26 18:36:11,grow,86.12,card
119,61,2025-04-21 22:56:33,participant,50.7,turn
120,58,2024-12-03 17:28:05,ten,33.83,north
121,45,2025-07-02 21:57:45,truth,16.58,several
122,59,2025-02-23 08:16:10,let,12.13,vote
123,191,2024-12-07 15:04:20,concern,30.99,social
124,254,2024-11-11 02:07:22,together,36.13,training
125,234,2024-12-08 08:31:28,live,21.11,under
126,288,2025-03-20 14:19:56,bad,44.59,most
127,243,2025-06-03 15:11:22,thing,20.52,population
128,92,2024-07-08 11:03:28,figure,49.68,account
129,21,2025-01-29 05:16:02,face,74.23,card
130,137,2024-10-22 18:36:19,service,62.9,but
131,203,2025-04-29 12:57:45,president,9.81,trip
132,39,2024-09-08 09:30:53,group,42.66,food
133,272,2024-07-25 03:51:09,decade,37.92,career
134,13,2024-12-30 23:39:36,spring,19.98,month
135,231,2025-06-25 10:08:53,news,61.93,rock
136,197,2025-02-17 02:37:59,raise,14.58,authority
137,141,2024-08-30 01:20:45,think,18.41,protect
138,88,2024-12-19 17:00:34,dog,73.46,machine
139,168,2024-09-15 11:10:40,dream,50.06,peace
140,221,2024-09-01 06:54:48,short,33.52,story
141,181,2024-07-27 15:46:01,could,93.23,itself
142,17,2024-09-06 16:53:56,together,4.83,cut
143,103,2024-10-18 16:06:25,skin,32.42,that
144,134,2025-01-18 08:30:57,next,93.81,no
145,45,2025-02-12 18:56:35,peace,95.04,even
146,96,2024-11-14 01:11:50,particular,48.11,account
147,291,2024-07-14 20:49:27,new,8.92,rate
148,167,2025-04-12 09:18:18,part,52.89,natural
149,168,2025-06-07 06:00:15,remember,80.39,thus
150,292,2024-12-21 19:29:53,western,89.4,citizen
151,48,2024-11-17 18:44:02,Republican,75.86,wall
152,210,2025-02-16 19:55:33,easy,85.89,price
153,55,2024-10-04 04:47:53,now,7.35,hope
154,19,2025-03-22 21:56:38,station,1.58,adult
155,190,2024-11-21 04:56:12,style,80.58,movie
156,202,2025-05-14 06:45:15,particularly,56.96,black
157,171,2024-07-26 05:42:54,war,11.59,clear
158,17,2025-03-17 06:00:07,walk,45.87,finally
159,29,2025-05-09 20:15:40,parent,58.2,way
160,93,2024-10-25 09:15:37,bit,86.43,share
161,188,2025-02-26 09:21:44,difficult,17.6,trouble
162,231,2025-02-11 19:57:26,computer,47.85,brother
163,41,2024-09-20 05:36:52,small,11.45,occur
164,249,2024-11-06 02:28:08,drive,33.55,relate
165,171,2024-12-09 05:43:45,firm,68.78,leg
166,138,2024-10-25 06:17:16,same,41.12,way
167,72,2025-04-17 22:04:28,so,94.8,perhaps
168,31,2025-04-01 15:22:38,gun,5.6,although
169,189,2025-03-24 07:14:38,ball,59.91,human
170,124,2024-07-16 04:20:46,gas,72.99,finally
171,27,2024-09-20 23:01:17,consider,20.03,use
172,122,2025-06-13 04:49:58,sign,5.48,total
173,31,2024-11-27 11:36:19,radio,33.39,minute
174,183,2025-05-11 17:48:41,much,75.5,help
175,283,2025-05-07 12:23:59,society,67.2,claim
176,134,2025-01-21 21:33:31,his,19.52,oil
177,238,2025-04-02 19:46:46,next,63.17,century
178,115,2024-11-14 18:00:02,bed,53.76,bag
179,207,2024-11-07 23:23:48,on,94.95,this
180,63,2024-09-22 19:16:39,everything,28.63,since
181,252,2025-03-31 06:39:46,west,97.69,prevent
182,139,2024-09-04 12:11:36,decide,35.87,energy
183,244,2024-11-25 09:40:15,data,64.79,despite
184,38,2024-09-15 13:25:02,either,35.86,yard
185,207,2025-02-23 10:33:54,again,38.48,save
186,292,2025-05-25 22:44:33,film,48.97,newspaper
187,85,2024-12-27 19:59:19,her,30.25,author
188,196,2024-08-23 23:58:55,race,18.96,nearly
189,262,2025-04-24 09:11:50,three,80.38,hotel
190,42,2024-07-28 19:47:59,sport,19.17,wear
191,47,2025-05-29 16:00:26,heavy,75.58,social
192,223,2024-07-22 14:43:27,possible,89.17,organization
193,147,2024-12-22 00:43:58,ask,57.89,according
194,46,2025-01-18 12:20:40,along,48.18,skin
195,263,2025-02-25 12:25:49,over,59.4,too
196,215,2024-12-07 15:54:09,civil,34.61,bad
197,238,2024-07-22 19:10:53,new,55.68,various
198,161,2025-04-14 05:52:17,probably,97.3,cut
199,249,2025-04-12 15:16:46,them,62.17,decade
200,215,2025-04-16 01:11:54,my,81.05,part
201,25,2025-02-01 21:07:52,I,63.5,per
202,239,2024-08-23 04:55:23,same,90.63,today
203,58,2024-09-23 04:17:55,form,69.11,protect
204,88,2024-07-08 18:09:14,attack,42.46,ok
205,106,2024-09-18 08:07:36,bring,78.89,customer
206,217,2025-04-26 08:37:34,instead,73.81,standard
207,258,2025-04-09 13:51:04,give,83.19,truth
208,194,2024-11-23 07:40:06,politics,62.9,pattern
209,105,2025-03-22 17:11:49,that,67.11,heart
210,295,2024-11-19 21:24:14,among,89.59,each
211,156,2024-12-08 16:27:07,boy,3.97,attorney
212,181,2024-09-06 02:27:27,whatever,43.95,late
213,44,2024-07-15 19:43:40,avoid,27.23,name
214,254,2024-11-27 01:17:40,write,84.21,money
215,212,2025-05-12 07:38:58,hundred,12.49,race
216,180,2024-11-24 22:18:40,father,30.07,other
217,184,2025-06-13 13:06:51,body,36.25,air
218,185,2024-12-08 00:03:22,key,67.91,lot
219,215,2024-08-09 09:57:24,short,74.23,language
220,111,2024-10-26 05:40:33,color,48.82,off
221,37,2025-06-02 08:51:58,turn,38.66,standard
222,288,2024-11-01 17:47:46,me,38.58,certain
223,85,2025-02-16 05:07:00,decade,85.65,board
224,217,2024-10-13 08:06:28,drop,56.0,despite
225,7,2025-05-04 13:34:29,middle,38.6,trouble
226,229,2025-03-11 18:04:56,sport,5.43,development
227,55,2025-05-12 12:38:32,issue,81.11,direction
228,54,2024-12-05 22:22:37,everything,37.36,according
229,79,2025-04-02 18:30:10,culture,99.44,major
230,168,2025-01-14 11:10:33,consider,44.64,dark
231,143,2025-01-30 04:54:22,argue,20.64,table
232,254,2025-04-06 14:46:07,pass,11.85,maintain
233,163,2025-01-27 19:47:36,by,22.7,laugh
234,205,2024-09-19 23:29:19,up,27.84,fund
235,122,2024-08-08 05:23:43,able,5.96,fire
236,237,2024-11-22 19:20:08,level,76.6,standard
237,110,2024-08-20 23:52:47,smile,62.89,then
238,10,2024-12-20 01:07:59,significant,62.87,tree
239,295,2025-06-15 03:38:48,stop,23.45,into
240,230,2024-12-12 12:03:23,statement,40.44,bed
241,81,2025-04-05 05:21:13,meeting,57.85,certainly
242,111,2024-12-29 00:03:33,sister,43.57,arm
243,166,2024-09-03 05:19:29,deep,38.85,situation
244,299,2024-07-31 14:57:47,cup,70.78,service
245,282,2025-05-17 11:58:18,her,46.21,bed
246,201,2025-01-05 00:34:36,floor,73.81,if
247,113,2024-12-02 03:45:04,structure,87.47,wind
248,74,2024-08-03 23:26:20,blue,47.25,theory
249,269,2024-10-23 02:30:11,development,18.24,box
250,68,2025-05-31 03:37:50,produce,85.94,career
251,192,2025-03-18 11:24:51,whatever,95.84,alone
252,215,2025-06-23 05:56:42,have,46.32,hit
253,135,2025-04-03 18:29:39,home,38.39,tend
254,190,2025-06-22 18:42:59,thought,38.74,as
255,72,2024-08-06 11:43:15,approach,80.28,determine
256,134,2025-03-07 18:50:55,cost,97.66,foreign
257,258,2025-01-14 13:07:11,impact,28.24,environment
258,118,2024-08-12 02:05:41,goal,70.34,reason
259,283,2025-01-30 20:03:19,ready,74.48,radio
260,205,2025-04-08 03:59:25,card,15.09,prevent
261,242,2024-09-29 16:37:36,news,51.37,reveal
262,180,2025-05-11 03:33:32,rest,77.8,home
263,135,2025-02-26 12:05:10,smile,55.61,remain
264,231,2024-09-30 13:42:48,window,17.82,anyone
265,230,2024-08-10 21:01:11,address,97.49,heart
266,140,2024-12-08 08:25:49,road,28.07,door
267,254,2025-02-08 14:49:07,government,21.39,Republican
268,71,2025-01-03 09:10:43,apply,76.77,within
269,50,2024-12-23 11:29:32,most,35.49,to
270,270,2024-09-03 06:03:26,keep,99.07,plant
271,280,2024-08-21 22:50:03,order,23.05,nice
272,95,2024-08-11 14:54:03,human,41.52,teacher
273,146,2025-06-19 12:12:16,development,95.63,few
274,296,2024-12-25 18:56:04,teacher,69.79,sister
275,215,2025-04-14 17:56:05,ahead,67.09,why
276,24,2025-05-21 11:10:47,point,64.01,form
277,85,2025-02-13 11:56:08,some,12.81,particular
278,235,2024-10-06 06:57:49,company,81.51,accept
279,249,2024-08-21 04:37:10,officer,97.49,very
280,254,2025-03-20 20:21:20,various,34.92,career
281,188,2025-06-01 05:32:16,camera,16.19,dog
282,150,2024-12-01 13:29:53,score,57.28,material
283,8,2024-10-17 10:48:24,modern,54.26,full
284,260,2025-05-28 06:37:11,position,99.52,determine
285,150,2024-09-01 18:08:59,garden,62.24,box
286,171,2025-04-01 17:09:38,decade,93.83,manage
287,6,2024-11-11 14:58:19,learn,94.42,eye
288,1,2025-02-02 16:31:02,writer,98.49,keep
289,28,2025-04-29 04:01:22,last,59.14,few
290,199,2025-04-20 09:59:15,summer,64.61,goal
291,2,2025-03-16 10:30:51,city,45.08,care
292,6,2025-04-21 02:56:55,glass,49.86,paper
293,83,2024-11-20 01:58:49,control,64.44,question
294,203,2024-08-10 19:40:54,money,47.43,year
295,128,2025-04-07 15:53:37,professor,8.97,power
296,147,2025-03-07 10:03:44,specific,77.42,eight
297,265,2024-07-09 03:14:14,wrong,21.45,onto
298,263,2025-06-28 17:18:45,would,94.11,bag
299,165,2024-12-14 16:15:31,here,80.21,push
300,10,2025-06-02 13:59:17,while,13.3,possible
